0,Theo,,,JN,"['Jennie',","'Jean',","'Jane',","'Janie',","'Juana',","'June',","'Jeanne',","'Johnnie',","'Joan',","'Jannie',","'John',","'Jenny',","'Joanna',","'Johnie',","'Gene',","'Jeanie',","'Jayne',","'Joanne',","'Joann',","'Jeane',","'Jan',","'Jeannie',","'Jonnie',","'Jana',","'Gina',","'Joni',","'Janna',","'Ginny',","'Gena',","'Joanie',","'Jann',","'Johnna',","'Jeana',","'Jeanna',","'Jonna',","'Jenna',","'Jena',","'Janae',","'Gianna',","Janay',",Joana']
0,Thea,,,TN,"['Donna',","'Diana',","'Tina',","'Dena',","'Dona',","'Tennie',","'Donnie',","'Tena',","'Dagny',","'Diane',","'Dina',","'Dawn',","'Dana',","'Toni',","'Dean',","'Deanna',","'Dianne',","'Dianna',","'Diann',","'Dian',","'Dinah',","'Deanne',","'Danna',","'Tana',","'Deana',","'Deena',","'Teena',","'Deann',","'Tonia',","'Tania',","'Dionne',","'Dawna',","'Dayna',",'Tawny'],,,,,,,
0L,Theola,,,KL,"['Cleo',","'Callie',","'Gail',","'Gayle',","'Gale',","'Gayla',","'Kelly',","'Kelley',","'Kelli',","'Kyle',","'Kellie',","'Kayla',","'Keely',","'Kyla',","'Kylie',","'Kali',","'Kaylee',","'Kala',","'Kylee',","'Kiley',","'Kaila',","'Keila',","'Kailey',","'Kaley',","'Cayla',","'Kaylie',","'Kaela',","'Kailee',","'Kallie',","'Kayli',","'Kalie',",'Kayley'],,,,,,,,,
0L,Thalia,,,KR,"['Carrie',","'Cora',","'Corrie',","'Kerry',","'Gary',","'Kari',","'Kerri',","'Cara',","'Carey',","'Kara',","'Keri',","'Cari',","'Karrie',","'Kerrie',","'Cary',","'Cori',","'Corey',","'Karie',","'Kori',","'Carie',","'Cory',","'Karri',","'Kira',","'Carri',","'Kiara',","'Kyra',","'Kiera',",'Kierra'],,,,,,,,,,,,,
0LM,Thelma,,,LN,"['Lena',","'Leona',","'Leone',","'Linnie',","'Lina',","'Lona',","'Lennie',","'Lonnie',","'Luna',","'Linnea',","'Lynn',","'Lenna',","'Lonie',","'Lynne',","'Lana',","'Lyn',","'Leanna',","'Leanne',","'Luanne',","'Luana',","'Lonna',","'Luann',","'Leann',","'Louann',","'Leeann',",'Liana'],,,,,,,,,,,,,,,
0MS,Thomas,,,LS,"['Louise',","'Lucy',","'Lois',","'Lizzie',","'Lessie',","'Louisa',","'Luisa',","'Luz',","'Lucie',","'Liza',","'Loyce',","'Louis',","'Lisa',","'Lesa',","'Liz',","'Leesa',","'Lise',","'Leisa',","'Lissa',","'Lacey',","'Lacy',","'Lacie',",'Laci'],,,,,,,,,,,,,,,,,,
0R,Thora,,,KRL,"['Carol',","'Coral',","'Carole',","'Creola',","'Caryl',","'Carroll',","'Carla',","'Carolee',","'Carrol',","'Carl',","'Karla',","'Karol',","'Carly',","'Carley',","'Karli',","'Karly',","'Carlie',","'Karlee',","'Karlie',","'Carli',","'Carlee',",'Karley'],,,,,,,,,,,,,,,,,,,
0R,Thyra,,,LL,"['Lillie',","'Lula',","'Lola',","'Lela',","'Luella',","'Lila',","'Leola',","'Leila',","'Lulu',","'Lily',","'Lelia',","'Lilly',","'Louella',","'Lilla',","'Lelah',","'Lyla',","'Lilia',",'Layla'],,,,,,,,,,,,,,,,,,,,,,,
0RS,Theresa,,,KRN,"['Corinne',","'Corine',","'Corrine',","'Corene',","'Karen',","'Karin',","'Karon',","'Caren',","'Karyn',","'Karren',","'Caryn',","'Karan',","'Caron',","'Corina',","'Corinna',","'Karina',",'Carina'],,,,,,,,,,,,,,,,,,,,,,,,
0RS,Therese,,,TR,"['Dora',","'Terry',","'Terri',","'Teri',","'Terrie',","'Tara',","'Dara',","'Tori',","'Dori',","'Terra',","'Tera',","'Tyra',","'Tierra',","'Tarah',","'Tiera',",'Drew'],,,,,,,,,,,,,,,,,,,,,,,,,
0RX,Theresia,,,ELS,"['Elsie',","'Eliza',","'Eloise',","'Elsa',","'Elise',","'Elisa',","'Else',","'Eloisa',","'Elouise',","'Elza',","'Elease',","'Elois',","'Elyse',","'Elissa',",'Elyssa'],,,,,,,,,,,,,,,,,,,,,,,,,,
0T,Theda,,,TRS,"['Doris',","'Teresa',","'Tressie',","'Dorris',","'Tracy',","'Tracey',","'Darcy',","'Terese',","'Tracie',","'Teressa',","'Traci',","'Tresa',","'Darci',","'Darcie',",'Tressa'],,,,,,,,,,,,,,,,,,,,,,,,,,
0TR,Theodora,,,XN,"['Shawn',","'Shauna',","'Shawna',","'Shana',","Shanna',","'Shani',","'Shonna',","'Tiana',","'Sheena',","'Shaina',","'Shayna',","'Chana',","'Tianna',","'Shania',",'China'],,,,,,,,,,,,,,,,,,,,,,,,,,
A0N,Athena,,,LR,"['Laura',","'Lora',","'Lura',","'Leora',","'Lera',","'Larue',","'Laurie',","'Lori',","'Lorrie',","'Lorie',","'Lauri',","'Lorri',","'Larry',",'Lara'],,,,,,,,,,,,,,,,,,,,,,,,,,,
